panel,omega_r,omega_i,lambda_re,lambda_im
0,-0.0062908468462,0.01532139385126,52.21286,21.4382
0,0.0062908468462,0.01532139385126,52.21286,-21.4382
0,-0.0054177307571600004,0.015243367889360001,51.94696,18.46276
0,0.0054177307571600004,0.015243367889360001,51.94696,-18.46276
0,-0.0017038651665000001,0.015005463533020002,51.13622,5.8065
0,0.0017038651665000001,0.015005463533020002,51.13622,-5.8065
0,-0.0033237035026500005,0.014844514078930001,50.58773,11.32665
0,0.0033237035026500005,0.014844514078930001,50.58773,-11.32665
0,-0.0073216493254100005,0.014567608479280002,49.64408,24.95101
0,0.0073216493254100005,0.014567608479280002,49.64408,-24.95101
0,-0.0,0.014483138553020001,49.35622,0.0
0,-0.0,0.013954255166670003,47.55387,0.0
0,-0.0,0.013954222888160001,47.55376,0.0
0,-0.0,0.013893248782770002,47.34597,0.0
0,-0.0065743724748100005,0.013257235956140001,45.17854,22.40441
0,0.0065743724748100005,0.013257235956140001,45.17854,-22.40441
0,-0.00278317931183,0.01244386738911,42.40671,9.48463
0,0.00278317931183,0.01244386738911,42.40671,-9.48463
0,-0.0058698030273500006,0.01215264773748,41.41428,20.00335
0,0.0058698030273500006,0.01215264773748,41.41428,-20.00335
0,-0.00382135889778,0.011967712416050002,40.78405,13.02258
0,0.00382135889778,0.011967712416050002,40.78405,-13.02258
0,-0.0,0.011928045061670002,40.64887,0.0
0,-0.0016829662984800002,0.011529428938450001,39.29045,5.73528
0,0.0016829662984800002,0.011529428938450001,39.29045,-5.73528
0,-0.00110870226148,0.01122062043328,38.23808,3.77828
0,0.00110870226148,0.01122062043328,38.23808,-3.77828
0,-0.0,0.011081946085500002,37.7655,0.0
0,-0.0,0.01108194315109,37.76549,0.0
0,-0.0025468448648400003,0.01085301515494,36.98534,8.67924
0,0.0025468448648400003,0.01085301515494,36.98534,-8.67924
0,-0.0,0.0106088898494,36.1534,0.0
0,-0.00414303772521,0.01055404866091,35.96651,14.11881
0,0.00414303772521,0.01055404866091,35.96651,-14.11881
0,-0.0,0.01008867471019,34.38059,0.0
0,-0.0009500739257,0.010088014467940002,34.37834,3.2377
0,0.0009500739257,0.010088014467940002,34.37834,-3.2377
0,-0.003992420328730001,0.00968071249112,32.99032,13.60553
0,0.003992420328730001,0.00968071249112,32.99032,-13.60553
0,-0.0017035189061200002,0.00934191138134,31.83574,5.80532
0,0.0017035189061200002,0.00934191138134,31.83574,-5.80532
0,-0.0,0.0089277663604,30.4244,0.0
0,-0.0,0.008777248733860002,29.91146,0.0
0,-0.0029307419875000003,0.008399962836930001,28.62573,9.9875
0,0.0029307419875000003,0.008399962836930001,28.62573,-9.9875
0,-0.00481668436009,0.00833393567752,28.40072,16.41449
0,0.00481668436009,0.00833393567752,28.40072,-16.41449
0,-0.0,0.0082513848554,28.1194,0.0
0,-0.00036540447084,0.008083422161410002,27.54701,1.24524
0,0.00036540447084,0.008083422161410002,27.54701,-1.24524
0,-0.0010653375505000002,0.00789234511985,26.89585,3.6305
0,0.0010653375505000002,0.00789234511985,26.89585,-3.6305
0,-0.0,0.007209977418450001,24.57045,0.0
0,-0.0032559479757500007,0.00705996744484,24.05924,11.09575
0,0.0032559479757500007,0.00705996744484,24.05924,-11.09575
0,-0.00070260632717,0.006942438455520001,23.65872,2.39437
0,0.00070260632717,0.006942438455520001,23.65872,-2.39437
0,-0.0,0.006857155697690001,23.36809,0.0
0,-0.00142695369803,0.0068101493839,23.2079,4.86283
0,0.00142695369803,0.0068101493839,23.2079,-4.86283
0,-0.0,0.0062957619829500005,21.45495,0.0
0,-0.0014922267140700003,0.0062281267668600005,21.22446,5.08527
0,0.0014922267140700003,0.0062281267668600005,21.22446,-5.08527
0,-0.00227749537094,0.006128465400030001,20.88483,7.76134
0,0.00227749537094,0.006128465400030001,20.88483,-7.76134
0,-0.0,0.006047196915080001,20.60788,0.0
0,-0.0030179819968000005,0.00570418199254,19.43894,10.2848
0,0.0030179819968000005,0.00570418199254,19.43894,-10.2848
0,-0.00015013028442,0.00532220984284,18.13724,0.51162
0,0.00015013028442,0.00532220984284,18.13724,-0.51162
0,-0.0,0.00507800530823,17.30503,0.0
0,-0.00232494184623,0.00469574852076,16.00236,7.92303
0,0.00232494184623,0.00469574852076,16.00236,-7.92303
0,-0.00295512106578,0.004504750708270001,15.35147,10.07058
0,0.00295512106578,0.004504750708270001,15.35147,-10.07058
0,-0.00302389776736,0.00435035966053,14.82533,10.30496
0,0.00302389776736,0.00435035966053,14.82533,-10.30496
0,-0.0015001672275300002,0.00427407673817,14.56537,5.11233
0,0.0015001672275300002,0.00427407673817,14.56537,-5.11233
0,-0.0029113866191400003,0.004198589040920001,14.30812,9.92154
0,0.0029113866191400003,0.004198589040920001,14.30812,-9.92154
0,-0.0013457556389200002,0.00415143600663,14.14743,4.58612
0,0.0013457556389200002,0.00415143600663,14.14743,-4.58612
0,-0.0,0.004138691864,14.104,0.0
0,-0.0006411245688500001,0.00404906911378,13.79858,2.18485
0,0.0006411245688500001,0.00404906911378,13.79858,-2.18485
0,-0.0009555084530200001,0.0038628191766700002,13.16387,3.25622
0,0.0009555084530200001,0.0038628191766700002,13.16387,-3.25622
0,-0.0014792478186400001,0.00385034499976,13.12136,5.04104
0,0.0014792478186400001,0.00385034499976,13.12136,-5.04104
0,-0.0020304092457100005,0.00362339186154,12.34794,6.91931
0,0.0020304092457100005,0.00362339186154,12.34794,-6.91931
0,-0.0,0.0034863108983900003,11.88079,0.0
0,-0.0022807261563500005,0.0034417548169500003,11.72895,7.77235
0,0.0022807261563500005,0.0034417548169500003,11.72895,-7.77235
0,-0.00019616237409000002,0.0031751489964,10.8204,0.66849
0,0.00019616237409000002,0.0031751489964,10.8204,-0.66849
0,-0.0005883638770500001,0.00316219064184,10.77624,2.00505
